Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Central African Republic,Africa,11579,239.742,61,1.263,0,100,2.07,0,0,0
Jersey,Europe,11318,10499.462,405,375.71,63,80,74.214,0,0,0
New Caledonia,Western Pacific,11182,3916.665,334,116.989,53,267,93.521,3,1.051,0
Gambia,Africa,9973,412.676,8,0.331,0,341,14.11,1,0.041,0
Isle of Man,Europe,9883,11622.683,363,426.898,39,60,70.562,3,3.528,3
Yemen,Eastern Mediterranean,9831,32.961,80,0.268,21,1901,6.374,27,0.091,4
United States Virgin Islands,Americas,7251,6943.74,79,75.652,18,82,78.525,1,0.958,1
Eritrea,Africa,6910,194.844,104,2.933,29,45,1.269,0,0,0
New Zealand,Western Pacific,6777,140.537,1013,21.007,166,29,0.601,1,0.021,1
Niger,Africa,6434,26.579,123,0.508,13,220,0.909,8,0.033,0
Sierra Leone,Africa,6398,80.206,1,0.013,0,121,1.517,0,0,0
Guinea-Bissau,Africa,6149,312.449,16,0.813,5,143,7.266,2,0.102,1
Gibraltar,Europe,6091,18079.012,148,439.286,26,98,290.879,0,0,0
Grenada,Americas,5856,5204.269,26,23.106,6,198,175.964,1,0.889,0
Liberia,Africa,5815,114.974,3,0.059,0,287,5.675,0,0,0
Bermuda,Americas,5665,9097.04,28,44.963,8,106,170.218,6,9.635,2
San Marino,Europe,5588,16465.319,40,117.862,6,92,271.083,0,0,0
Chad,Africa,5107,31.091,38,0.231,0,175,1.065,1,0.006,0
Saint Vincent and the Grenadines,Americas,5050,4552.01,145,130.701,38,69,62.196,5,4.507,0
Dominica,Americas,4863,6755.011,172,238.919,0,32,44.45,1,1.389,0
Sint Maarten,Americas,4501,10496.246,15,34.98,3,75,174.899,0,0,0
Comoros,Africa,4300,494.48,61,7.015,19,147,16.904,0,0,0
Antigua and Barbuda,Americas,4072,4158.115,36,36.761,3,104,106.199,2,2.042,2
Saint Martin,Americas,3941,10194.263,21,54.321,0,37,95.709,0,0,0
Liechtenstein,Europe,3728,9621.39,61,157.432,0,58,149.689,0,0,0
Sao Tome and Principe,Africa,3718,1696.485,13,5.932,3,56,25.552,0,0,0
Monaco,Europe,3428,8735.093,21,53.511,4,36,91.734,0,0,0
Turks and Caicos Islands,Americas,3001,7750.917,27,69.735,12,23,59.404,0,0,0
British Virgin Islands,Americas,2725,9012.137,0,0,0,37,122.367,0,0,0
Saint Kitts and Nevis,Americas,2696,5068.431,39,73.319,10,25,47,4,7.52,0
Bhutan,South-East Asia,2622,339.81,1,0.13,0,3,0.389,0,0,0
Faroe Islands,Europe,2484,5083.393,554,1133.736,111,5,10.232,3,6.139,1
Bonaire,Americas,2436,11647.143,68,325.126,31,19,90.844,0,0,0
Cayman Islands,Americas,2356,3584.906,860,1308.582,115,2,3.043,0,0,0
Guernsey,Europe,2253,3494.757,154,238.878,26,23,35.677,0,0,0
Saint Barthélemy,Americas,1660,16793.121,1,10.116,0,4,40.465,0,0,0
Anguilla,Americas,1019,6792.428,127,846.554,35,1,6.666,0,0,0
Greenland,Europe,846,1490.171,59,103.924,11,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,339,588.981,41,71.234,9,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,69,1981.051,0,0,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,28,892.004,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,1,0.946,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
